case_id,summary,age,sex,economic-status,educational-level,reasoning
50921,"During an argument with a live-in partner, the suspect took a lighter, threatened to ""cut"" the partner's throat, and then set a bedroom blanket on fire while lying next to the victim on the bed. The fire spread rapidly, filling the apartment with heavy smoke and prompting evacuation of the building. The suspect briefly urged the victim to help extinguish the fire, then left the scene in a vehicle without contacting the victim again and was later located the following day some distance away.  An arson investigator concluded the fire was deliberately ignited with an open flame rather than a smoldering cigarette.",30-39y,Male,Lower,High school,"The deliberate fire-setting, violent throat threat, dangerous conduct while next to a live-in partner, and flight suggest an adult intimate-partner violence suspect with impulsive, high-risk behavior. Based on common patterns in comparable violent domestic incidents, the most likely profile is a male in his 30s, with lower economic status and a high-school-level education, though these characteristics are probabilistic rather than established."
25600,"The suspect was convicted by a jury of indecency with a child by sexual contact and indecency with a child by exposure, after being indicted on those charges along with aggravated sexual assault of a child. The opinion, an Anders brief review, does not describe the specific facts or conduct underlying the offenses.  ",30-39y,Male,Middle,High school,"The offenses involve sexual contact and exposure involving a child, and the suspect was prosecuted in an adult criminal case. Such offenses are most commonly committed by adult males; absent specific age information, 30-39y is the most likely range. Economic status and education are not described, so middle economic status and high school education are cautious population-based estimates rather than established facts."
17689,"Police surveilling a motel on an anonymous drug tip watched the suspect drive with two passengers, sit at a picnic table for about fifteen minutes, then leave; an officer observed the suspect commit two traffic violations. A stop revealed outstanding warrants and led to arrest, and a canine alert on the vehicle produced a bag on the driver's floorboard containing methamphetamine and marijuana, plus a broken meth pipe on a passenger and unlabeled pills in the console. The suspect admitted holding the bag for a passenger and, after being stopped, repeatedly demanded a supervisor and refused to exit the vehicle.",25-29y,Male,Lower,High school,"The suspect is most likely a young adult male involved in drug possession and associated warrant-related conduct. The circumstances suggest limited economic resources and a high-school-level education are somewhat more likely than higher socioeconomic or educational categories, though these characteristics are probabilistic rather than confirmed."
1151,"The suspect, while driving under the influence, made a left turn into a parking lot and collided with an oncoming motorcycle carrying two riders. The crash killed one rider, caused serious bodily injury to the other, and damaged the motorcycle. The suspect was subsequently charged with and convicted of DUI manslaughter, DUI causing serious bodily injury, and DUI causing property damage arising from this single incident.",30-39y,Male,Middle,High school,"The summary provides no confirmed demographic details, so these are probabilistic estimates based on common patterns in DUI serious-injury and fatal-crash cases: the primary suspect is more likely to be male, in the adult 30-39 age range, and to have middle economic status and a high-school-level education."
41368,"An officer stopped a vehicle after observing the driver weaving between improperly marked lanes. After being taken to a police station, the driver's breath test showed a blood alcohol concentration of 0.160%. The driver was subsequently charged with violating the territory's DUI law. The driver later claimed to have requested a blood test instead of the breath test, but only the breath test was administered.",30-39y,Male,Middle,High school,"The summary describes a single impaired-driving incident with a very high BAC and no indication of additional offenses. Statistically, DUI suspects are more often male and commonly fall in the adult 30–39 age range. With no indicators of unusual financial or educational circumstances, middle economic status and a high-school educational level are the most likely predictions."
37558,"The suspect pleaded no contest to criminal trespassing and criminal damaging, leading to a guilty finding on both charges after the prosecution agreed to dismiss an accompanying assault charge. Years later, the suspect was convicted twice more for domestic violence and once for a reduced charge stemming from another domestic violence complaint. These subsequent convictions were later cited by the state in opposing the suspect's request to seal the earlier trespassing and damaging convictions.",30-39y,Male,Lower,High school,"The repeated domestic-violence convictions and earlier assault-related conduct most strongly fit an adult male in the 30–39 age range. No direct socioeconomic or educational information is provided, so lower economic status and high-school education are probabilistic estimates based on general patterns among repeat interpersonal offenders."
23703,"The suspect and an acquaintance arranged to meet the victim for a drug transaction; during the meeting the victim was robbed and shot in the suspect's van and later found dead with a gunshot wound and cash missing. The suspect initially lied to police about the van's whereabouts, then burned the van two days later, and texted a family member admitting involvement and possessing thousands of dollars in cash immediately after the robbery. Cell phone location data placed the suspect near the scene at the time of the killing. The suspect pleaded guilty to facilitation of first degree murder.",19-24y,Male,Lower,High school,"The suspect is most likely a young adult male based on the violent drug-related robbery, use of a van, concealment efforts, and communication with a family member. The apparent involvement in drug activity and possession of large amounts of cash suggest lower economic status. A high-school-level education is the most likely category given the limited evidence of advanced educational attainment."
29429,"The suspect began private Snapchat messages with a fourteen-year-old, complimenting her appearance and asking about her clothing, and told her to delete their messages and keep their contact secret. The suspect invited her to go for a drive alone and instructed her not to tell anyone. During a sleepover, while alone with the minor in a bedroom, the suspect pulled her close, held her chin, and asked for a kiss, which she refused; the next day the suspect struck her buttocks. The minor later disclosed the conduct, leading to charges of enticing a minor and assault.",19-24y,Male,Middle,High school,"The suspect appears to be a young adult male with access to a vehicle and social contact with a 14-year-old, using secrecy, private messaging, and physical advances consistent with grooming and sexual misconduct. A middle economic status and high-school-level education are the most likely broad demographic estimates given the limited information."
11234,"The suspect was accused of strangling and sexually assaulting a victim whose body was found in a cemetery, with evidence including fractured larynx, extensive genital and anal injuries, and a twig lodged deep in the rectum. The suspect fled the scene, later confessed to a spouse that they had killed the victim, and at trial admitted to the killing but claimed it was accidental during consensual rough sex, a version contradicted by forensic testimony. DNA evidence linked the suspect to the victim, and a prior conviction showed the suspect had previously choked and raped another victim under similar circumstances.",30-39y,Male,Middle,High school,"The suspect is most likely male based on the sexual assault pattern and the described prior conviction involving choking and rape. The repeated, violent behavior and later confession suggest an adult in the 30-39 range. No socioeconomic or educational details are provided, so middle economic status and high school education are the most plausible general-population estimates."
5777,"The suspect, a company founder and CEO, initially requested IP addresses lawfully but by 2014 began creating fictitious shell companies and inventing fake corporate officers to submit fraudulent documentation to the registry overseeing IP address allocation. Through this scheme, the suspect fraudulently obtained approximately 1.3 million IPv4 addresses and sold some through brokers for about $3.3 million in profits. The scheme was uncovered when the registry flagged an attempted $6 million sale and blocked the transfer.atural",40-49y,Male,Upper,Bachelor's,"The suspect is described as a company founder and CEO who operated a sophisticated, financially successful IP-address fraud scheme, suggesting an established adult professional with substantial resources and likely higher education. The available context makes a male suspect in the 40–49 age range the most probable prediction, though these characteristics are not explicitly confirmed."
