case_id,summary
50921,"During an argument with a live-in partner, the suspect took a lighter, threatened to ""cut"" the partner's throat, and then set a bedroom blanket on fire while lying next to the victim on the bed. The fire spread rapidly, filling the apartment with heavy smoke and prompting evacuation of the building. The suspect briefly urged the victim to help extinguish the fire, then left the scene in a vehicle without contacting the victim again and was later located the following day some distance away.  An arson investigator concluded the fire was deliberately ignited with an open flame rather than a smoldering cigarette."
25600,"The suspect was convicted by a jury of indecency with a child by sexual contact and indecency with a child by exposure, after being indicted on those charges along with aggravated sexual assault of a child. The opinion, an Anders brief review, does not describe the specific facts or conduct underlying the offenses.  "
17689,"Police surveilling a motel on an anonymous drug tip watched the suspect drive with two passengers, sit at a picnic table for about fifteen minutes, then leave; an officer observed the suspect commit two traffic violations. A stop revealed outstanding warrants and led to arrest, and a canine alert on the vehicle produced a bag on the driver's floorboard containing methamphetamine and marijuana, plus a broken meth pipe on a passenger and unlabeled pills in the console. The suspect admitted holding the bag for a passenger and, after being stopped, repeatedly demanded a supervisor and refused to exit the vehicle."
1151,"The suspect, while driving under the influence, made a left turn into a parking lot and collided with an oncoming motorcycle carrying two riders. The crash killed one rider, caused serious bodily injury to the other, and damaged the motorcycle. The suspect was subsequently charged with and convicted of DUI manslaughter, DUI causing serious bodily injury, and DUI causing property damage arising from this single incident."
41368,"An officer stopped a vehicle after observing the driver weaving between improperly marked lanes. After being taken to a police station, the driver's breath test showed a blood alcohol concentration of 0.160%. The driver was subsequently charged with violating the territory's DUI law. The driver later claimed to have requested a blood test instead of the breath test, but only the breath test was administered."
37558,"The suspect pleaded no contest to criminal trespassing and criminal damaging, leading to a guilty finding on both charges after the prosecution agreed to dismiss an accompanying assault charge. Years later, the suspect was convicted twice more for domestic violence and once for a reduced charge stemming from another domestic violence complaint. These subsequent convictions were later cited by the state in opposing the suspect's request to seal the earlier trespassing and damaging convictions."
23703,"The suspect and an acquaintance arranged to meet the victim for a drug transaction; during the meeting the victim was robbed and shot in the suspect's van and later found dead with a gunshot wound and cash missing. The suspect initially lied to police about the van's whereabouts, then burned the van two days later, and texted a family member admitting involvement and possessing thousands of dollars in cash immediately after the robbery. Cell phone location data placed the suspect near the scene at the time of the killing. The suspect pleaded guilty to facilitation of first degree murder."
29429,"The suspect began private Snapchat messages with a fourteen-year-old, complimenting her appearance and asking about her clothing, and told her to delete their messages and keep their contact secret. The suspect invited her to go for a drive alone and instructed her not to tell anyone. During a sleepover, while alone with the minor in a bedroom, the suspect pulled her close, held her chin, and asked for a kiss, which she refused; the next day the suspect struck her buttocks. The minor later disclosed the conduct, leading to charges of enticing a minor and assault."
11234,"The suspect was accused of strangling and sexually assaulting a victim whose body was found in a cemetery, with evidence including fractured larynx, extensive genital and anal injuries, and a twig lodged deep in the rectum. The suspect fled the scene, later confessed to a spouse that they had killed the victim, and at trial admitted to the killing but claimed it was accidental during consensual rough sex, a version contradicted by forensic testimony. DNA evidence linked the suspect to the victim, and a prior conviction showed the suspect had previously choked and raped another victim under similar circumstances."
5777,"The suspect, a company founder and CEO, initially requested IP addresses lawfully but by 2014 began creating fictitious shell companies and inventing fake corporate officers to submit fraudulent documentation to the registry overseeing IP address allocation. Through this scheme, the suspect fraudulently obtained approximately 1.3 million IPv4 addresses and sold some through brokers for about $3.3 million in profits. The scheme was uncovered when the registry flagged an attempted $6 million sale and blocked the transfer.atural"
