,case_id,summary
3,50921,"During an argument with his fiancée in their shared apartment, the suspect took her lighter, repeated a prior threat to cut her throat, and then stated he was going to set the blanket on fire before doing so while the two were lying together on the bed. An arson investigator determined the fire was started deliberately with an open flame rather than accidentally, based on burn patterns and the rapid spread of the fire. The victim fled the apartment to warn neighbors as heavy smoke filled the building, while the suspect left the scene in his truck and did not stay to help extinguish the fire or contact the victim again. He was located and arrested the following day some distance from the scene.
"
7,25600,"The defendant was indicted for indecency with a child by sexual contact, indecency with a child by exposure, and two counts of aggravated sexual assault of a child. A jury convicted the defendant of indecency with a child by sexual contact and indecency with a child by exposure. The opinion, an Anders brief review, does not provide specific factual details about how the underlying offenses were carried out."
16,17689,"Police surveilled a motel room based on a drug-activity tip and observed the suspect drive her car to the location, pick up two men, and sit with them at a picnic table for about fifteen minutes before leaving. After the suspect committed two traffic violations, officers stopped her vehicle, arrested her on outstanding warrants, and conducted a canine sniff that alerted on the driver's door, leading to a search that uncovered a bag containing methamphetamine and marijuana on the driver's-side floorboard along with prescription pills in the center console. The suspect admitted she had been holding the bag at a passenger's request, and after the stop she repeatedly asked for a supervisor, refused to exit the vehicle, and disputed the warrants while protesting from the patrol car.”}"
29,56759,"The underlying incident involved a defendant who struck and killed a pedestrian with a motor vehicle while the victim was performing construction work wearing a uniform and reflective safety vest. The victim's heirs alleged the defendant drove with clear disregard for the safety of others, causing the fatal collision at the scene. Following trial, the lower court found the plaintiffs failed to establish that the defendant acted negligently or carelessly in operating her vehicle, and dismissed the wrongful death and damages claims against her."
33,1151,"On June 11, 2022, the suspect, driving a car while under the influence, made a left turn into a liquor store parking lot into the path of an oncoming motorcycle carrying two victims. The car collided with the motorcycle, killing one victim, causing serious bodily injury to the other victim, and damaging the motorcycle. The suspect was subsequently charged with and convicted of DUI manslaughter, DUI causing serious bodily injury, and DUI causing property damage arising from this single collision.”}(46 words in summary)Actually let me output correctly.},{"
39,2042,"Shortly before the child turned seven, police discovered a gun and hundreds of pills in the father's car, resulting in his incarceration; the father was found to have carried a concealed weapon while he had sole physical custody of the child. Before going to prison, the father arranged for a paternal aunt to care for the child, providing her with educational and medical documents and a notarized letter establishing temporary custody, and he called the child every other day. This arrangement functioned for about a month until the mother, upon learning of the father's imprisonment during a scheduled visit, refused to return the child to the aunt's care. There was no evidence that the child was present for or otherwise affected by the father's criminal conduct, and no evidence indicated the aunt's home posed any hazard to the child."
40,28697,"The defendant, who lived with the victim's family for several years starting when the child was eight or nine years old, was accused of repeatedly sexually abusing her from approximately fourth grade through eighth grade. The abuse allegedly began with digital penetration of her vagina and progressed to inappropriate kissing, forcing her to touch his exposed genitals, exposing himself to her, making her take nude photos, and oral contact with her genitals. The victim did not disclose the abuse for years due to fear, eventually telling a cousin and then her sister in 2019, which led to a police investigation and criminal charges. A jury convicted the defendant of continuous sexual abuse of a child and two counts of indecency with a child based on this pattern of conduct occurring while the victim was under 14 years of age."
44,41368,"A police officer stopped the suspect's vehicle after observing it traveling between improperly marked lanes. Following the stop, the suspect was taken to the police division's headquarters, where a breath test showed a blood alcohol concentration of 0.160%. The suspect had reportedly requested a blood test instead of a breath test on multiple occasions, but only the breath test was administered. Based on the breath test results, a charge was filed for violation of Article 7.02 of Law No. 22-2000, Puerto Rico's DUI statute."
45,37558,"In January 2014, the defendant pleaded no contest to one count of criminal trespassing and one count of criminal damaging, in exchange for which the State dismissed a related assault charge; the trial court found him guilty on both remaining counts. The opinion does not describe the specific underlying conduct constituting the trespassing, damaging, or dismissed assault charge. The defendant later had two subsequent domestic violence charges in 2018 and was convicted of a reduced charge from an initial domestic violence complaint in 2021, though the nature of that reduced charge is unclear from the record.”}    Wait, I need valid JSON only.  {"
57,23703,"The defendant and an acquaintance arranged to meet the victim to conduct a drug transaction, during which the victim was robbed of $4,000 to $7,000 in cash and shot while inside the defendant's minivan; the victim's body was later found with a single gunshot wound. When questioned, the defendant falsely claimed he had sold the van, but investigators determined he had burned it two days after the robbery and shooting, and text messages showed him telling his wife he had ""messed up big time"" and had to burn the van, while also referencing having obtained $6,800 immediately after the robbery. Cell phone tower data placed the defendant in the area at the time of the murder. The defendant pleaded guilty to facilitation of first degree premeditated murder in exchange for dismissal of charges including first degree murder, felony murder, especially aggravated robbery, and tampering with evidence."
60,29429,"The defendant, an adult, began private Snapchat communications with a fourteen-year-old minor, sending personal questions, compliments about her appearance, and requests that she delete their messages. He asked her to go for a drive while telling her not to tell anyone, and repeatedly referred to their communications as a ""secret."" During a sleepover at his home, while alone with the minor in a bedroom, he pulled her closer, placed his hand on her chin, and asked her for a kiss, which she declined; the next day he struck her buttocks with an open hand. The minor subsequently disclosed the conduct to others and to law enforcement, leading to charges of enticing a minor and assault."
